model,accuracy,precision,recall,f1_score
decision_tree,0.9993328885923949,0.835820895522388,0.7619047619047619,0.797153024911032
random_forest,0.9995084442259752,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.9995786664794073,0.944,0.8027210884353742,0.8676470588235294
lightgbm,0.9950025162974147,0.19827586206896552,0.6258503401360545,0.3011456628477905
dnn,0.9993914071369217,0.8368794326241135,0.8027210884353742,0.8194444444444444
dnn_undersampled,0.9994908856833543,0.8576923076923076,0.8168498168498168,0.8367729831144465
dnn_smote,0.9981651806388454,0.9963605823068309,0.9999882927286138,0.9981711414297818
